epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1398,1.07305,2.78095,1.12692,0.00331,1,0.59032,0.46923,0.79636,2.86329,0.88043,0.00012,0.00012,0.00012
2,25.645,1.06322,1.82128,1.05017,0.01547,0.96429,0.96158,0.76145,0.74418,2.51905,0.85146,0.000257426,0.000257426,0.000257426
3,39.0471,1.02389,1.2584,1.0323,0.92374,0.4329,0.92886,0.66494,0.78939,2.44184,0.87032,0.00039208,0.00039208,0.00039208
4,54.2631,1.04451,1.38796,1.01957,1,0.26257,0.95586,0.74043,0.64187,2.38856,0.85743,0.000523962,0.000523962,0.000523962
5,67.1725,1.00645,1.24408,1.00697,1,0.36355,0.92948,0.73843,0.74632,2.45625,0.93601,0.000653072,0.000653072,0.000653072
6,84.2546,1.0329,1.1223,1.07386,1,0.22294,0.89903,0.68419,0.83379,2.66706,0.97809,0.00077941,0.00077941,0.00077941
7,96.2526,1.05992,1.26071,1.03772,1,0.14226,0.69314,0.43058,1.24328,3.27026,1.22183,0.000902976,0.000902976,0.000902976
8,109.046,1.00182,1.24455,1.03474,1,0.2401,0.94702,0.63711,1.27795,2.85096,1.16314,0.00102377,0.00102377,0.00102377
9,123.911,0.97031,1.19506,1.03929,0.95368,0.53571,0.93466,0.64648,1.01872,2.47272,1.06539,0.00114179,0.00114179,0.00114179
10,136.61,0.99365,1.09994,1.08377,0.90829,0.92857,0.95372,0.72425,0.82007,1.95578,1.02364,0.00125704,0.00125704,0.00125704
11,151.83,1.03181,1.13678,1.1063,0.86628,0.92553,0.95512,0.7267,0.81465,1.78279,1.00928,0.00136952,0.00136952,0.00136952
12,164.393,0.93616,1.11446,1.02719,0.81299,0.77658,0.8947,0.63135,0.93169,1.76386,1.07712,0.00147923,0.00147923,0.00147923
13,176.401,1.11726,1.12743,1.10869,0.81583,0.85714,0.88844,0.61092,0.87495,1.62055,1.06888,0.00158616,0.00158616,0.00158616
14,191.686,1.01577,1.0635,1.10698,0.95427,0.96429,0.99157,0.74501,0.98077,1.16577,1.13063,0.00169032,0.00169032,0.00169032
15,204.043,0.9812,1.08636,1.08309,0.92654,1,0.97379,0.69882,1.10685,1.49234,1.15774,0.0017228,0.0017228,0.0017228
16,217.809,1.08129,1.10213,1.14466,0.92637,0.89879,0.97802,0.75709,0.85094,1.31886,1.05337,0.001703,0.001703,0.001703
17,230.517,0.97826,1.0278,1.06435,1,0.98533,0.995,0.77107,0.77198,1.17275,1.01177,0.0016832,0.0016832,0.0016832
18,244.264,1.11233,1.08398,1.14984,0.91478,0.7671,0.89973,0.71878,0.74592,1.90131,0.98891,0.0016634,0.0016634,0.0016634
19,259.1,0.95867,0.94647,1.05984,0.93148,0.97127,0.98907,0.77119,0.77932,0.90741,1.04379,0.0016436,0.0016436,0.0016436
20,274.29,0.97138,1.02126,1.08501,0.92766,0.96429,0.9921,0.74769,0.74117,0.94102,1.04206,0.0016238,0.0016238,0.0016238
21,289.139,0.94087,0.94787,1.09574,0.92718,0.96429,0.98795,0.77133,0.72379,1.09719,1.02404,0.001604,0.001604,0.001604
22,304.594,0.95331,0.8917,1.05367,0.88475,0.96429,0.95937,0.76127,0.78096,2.19684,1.00483,0.0015842,0.0015842,0.0015842
23,320.209,0.9627,0.90221,1.05768,0.95125,0.96429,0.98404,0.77043,0.7233,1.44984,0.98806,0.0015644,0.0015644,0.0015644
24,332.738,1.08133,1.02875,1.14396,0.99618,0.96429,0.99125,0.74474,0.85713,0.84978,1.04634,0.0015446,0.0015446,0.0015446
25,344.875,0.88616,0.84798,1.04637,1,0.99559,0.995,0.7068,1.02737,0.92113,1.11722,0.0015248,0.0015248,0.0015248
26,360.975,0.9591,0.83818,1.06954,1,0.996,0.995,0.79157,0.77533,0.77848,1.00401,0.001505,0.001505,0.001505
27,374.212,0.9912,0.83684,1.05668,0.99797,1,0.995,0.78608,0.68367,0.70063,0.95314,0.0014852,0.0014852,0.0014852
28,391.196,0.87334,0.87653,1.04091,0.99487,1,0.995,0.77719,0.75372,0.72737,0.99538,0.0014654,0.0014654,0.0014654
29,405.732,0.93888,0.78584,1.06033,0.99729,1,0.995,0.77494,0.8035,0.72157,0.98594,0.0014456,0.0014456,0.0014456
30,421.56,0.92916,0.77868,1.03719,0.96481,0.96429,0.993,0.80426,0.84205,0.64992,0.97875,0.0014258,0.0014258,0.0014258
31,433.925,0.78977,0.67747,1.00088,0.99653,0.96429,0.993,0.75223,0.82829,0.73586,0.9885,0.001406,0.001406,0.001406
32,448.851,0.76525,0.67771,0.97163,1,0.99407,0.995,0.7775,0.81727,0.83518,1.00283,0.0013862,0.0013862,0.0013862
33,465.06,0.82405,0.75618,0.99038,0.97155,0.96429,0.99397,0.78471,0.79025,0.84623,0.98402,0.0013664,0.0013664,0.0013664
34,479.75,0.8574,0.73263,0.98519,1,0.99646,0.995,0.7858,0.84287,0.76241,0.99757,0.0013466,0.0013466,0.0013466
35,495.246,0.85841,0.7753,1.048,0.99753,1,0.995,0.78875,0.84105,0.66723,0.97468,0.0013268,0.0013268,0.0013268
36,509.948,0.82931,0.70784,1.01001,0.99769,1,0.995,0.79697,0.84469,0.63102,0.97616,0.001307,0.001307,0.001307
37,524.324,0.82995,0.68927,1.0112,0.99777,1,0.995,0.79722,0.82665,0.60838,0.97098,0.0012872,0.0012872,0.0012872
38,536.896,0.86852,0.83592,1.05413,0.99833,1,0.995,0.74755,0.90792,0.68862,1.00781,0.0012674,0.0012674,0.0012674
39,549.303,0.86694,0.70012,1.00056,0.99784,1,0.995,0.81037,0.73454,0.68881,0.95051,0.0012476,0.0012476,0.0012476
40,563.721,0.84833,0.89159,0.99177,0.99666,1,0.995,0.78032,0.79367,0.68491,0.9801,0.0012278,0.0012278,0.0012278
41,576.199,0.9071,0.82298,0.98102,0.99783,1,0.995,0.77004,0.83094,0.71372,0.99516,0.001208,0.001208,0.001208
42,589.945,0.94985,0.7827,1.03132,1,0.99721,0.995,0.78495,0.82865,0.69149,0.97469,0.0011882,0.0011882,0.0011882
43,601.987,0.846,0.74268,1.00258,1,0.99922,0.995,0.80221,0.72735,0.60155,0.94571,0.0011684,0.0011684,0.0011684
44,614.186,1.00133,0.80862,1.12117,0.99901,1,0.995,0.8177,0.75808,0.57232,0.94779,0.0011486,0.0011486,0.0011486
45,629.518,0.90539,0.72073,1.02722,0.99926,1,0.995,0.83288,0.69793,0.59755,0.93193,0.0011288,0.0011288,0.0011288
46,643.441,0.78557,0.68276,0.97552,1,0.99621,0.995,0.81729,0.69067,0.54722,0.93816,0.001109,0.001109,0.001109
47,657.672,0.71774,0.61012,0.98429,0.99838,1,0.995,0.81648,0.67559,0.51194,0.91737,0.0010892,0.0010892,0.0010892
48,670.803,0.71846,0.61553,0.98196,0.99726,1,0.995,0.79508,0.72836,0.47199,0.9293,0.0010694,0.0010694,0.0010694
49,686.767,0.80029,0.61291,0.98608,0.99588,1,0.995,0.81293,0.68388,0.47259,0.9152,0.0010496,0.0010496,0.0010496
50,701.576,0.79103,0.65807,0.96572,0.99668,1,0.995,0.81025,0.62887,0.47281,0.91418,0.0010298,0.0010298,0.0010298
51,713.119,0.79369,0.61822,0.97716,0.99951,1,0.995,0.76749,0.74244,0.51789,0.94774,0.00101,0.00101,0.00101
52,728.64,0.68437,0.57024,0.97188,0.96305,1,0.99397,0.79443,0.64407,0.47718,0.92718,0.0009902,0.0009902,0.0009902
53,741.726,0.75033,0.60763,1.00302,0.9687,1,0.995,0.8104,0.64053,0.47748,0.91992,0.0009704,0.0009704,0.0009704
54,754.753,0.80183,0.64023,1.0513,0.9926,1,0.995,0.82893,0.6106,0.53574,0.91714,0.0009506,0.0009506,0.0009506
55,769.228,0.65768,0.53945,0.97003,0.99768,1,0.995,0.81146,0.68285,0.53659,0.95201,0.0009308,0.0009308,0.0009308
56,781.959,0.73721,0.57632,0.9686,0.9623,1,0.99397,0.81948,0.70948,0.50105,0.96582,0.000911,0.000911,0.000911
57,795.971,0.84887,0.67359,1.11697,0.96289,1,0.99259,0.81959,0.6879,0.49078,0.95122,0.0008912,0.0008912,0.0008912
58,808.829,0.72699,0.55962,0.96671,0.95779,1,0.99155,0.81967,0.68771,0.50173,0.9418,0.0008714,0.0008714,0.0008714
59,826.78,0.84191,0.63928,1.01437,0.96044,1,0.99259,0.79612,0.71401,0.45428,0.94062,0.0008516,0.0008516,0.0008516
60,839.297,0.75024,0.55057,0.95833,1,0.99317,0.995,0.8152,0.6741,0.4487,0.93071,0.0008318,0.0008318,0.0008318
61,852.143,0.71861,0.58549,1.00304,1,0.99978,0.995,0.81933,0.66798,0.46867,0.92657,0.000812,0.000812,0.000812
62,867.024,0.74671,0.57146,0.93648,1,0.99891,0.995,0.82042,0.67512,0.45949,0.92672,0.0007922,0.0007922,0.0007922
63,879.773,0.7011,0.55696,0.93833,0.96216,1,0.99397,0.82182,0.62251,0.46842,0.91675,0.0007724,0.0007724,0.0007724
64,894.117,0.70975,0.54551,0.9638,0.96395,1,0.99155,0.82528,0.59699,0.47196,0.90375,0.0007526,0.0007526,0.0007526
65,907.283,0.75168,0.55232,0.98824,0.96527,1,0.98776,0.81636,0.59915,0.45942,0.89861,0.0007328,0.0007328,0.0007328
66,920.461,0.75627,0.54363,0.97481,0.96432,1,0.98638,0.80195,0.56809,0.46418,0.89098,0.000713,0.000713,0.000713
67,935.369,0.71535,0.54598,0.96563,0.96409,1,0.98914,0.81751,0.57572,0.4518,0.89376,0.0006932,0.0006932,0.0006932
68,948.148,0.6701,0.53937,0.94756,0.96362,1,0.99155,0.83885,0.58832,0.44006,0.89009,0.0006734,0.0006734,0.0006734
69,963.617,0.70469,0.52485,0.94842,0.96294,1,0.99397,0.83765,0.57292,0.43834,0.88436,0.0006536,0.0006536,0.0006536
70,978.343,0.6661,0.53223,0.93649,0.99792,1,0.995,0.83165,0.55861,0.43792,0.88185,0.0006338,0.0006338,0.0006338
71,992.539,0.6564,0.49094,0.94172,0.9969,1,0.995,0.82924,0.58752,0.4594,0.8958,0.000614,0.000614,0.000614
72,1007.03,0.65506,0.52144,0.93406,0.9952,1,0.995,0.83865,0.56594,0.44053,0.88741,0.0005942,0.0005942,0.0005942
73,1033.49,0.72876,0.54254,0.95099,0.99472,1,0.995,0.84097,0.55374,0.42669,0.88213,0.0005744,0.0005744,0.0005744
74,1046.76,0.65167,0.52651,0.93954,0.99477,1,0.995,0.83221,0.55888,0.41249,0.87857,0.0005546,0.0005546,0.0005546
75,1059.91,0.69433,0.51132,0.94309,0.99433,1,0.995,0.82967,0.57282,0.40361,0.87551,0.0005348,0.0005348,0.0005348
76,1074.54,0.71615,0.54973,0.96234,0.99296,1,0.995,0.82402,0.57393,0.40013,0.87525,0.000515,0.000515,0.000515
77,1086.99,0.64639,0.49704,0.94372,0.99333,1,0.995,0.82814,0.55466,0.4182,0.86932,0.0004952,0.0004952,0.0004952
78,1101.34,0.61271,0.49234,0.94026,0.99517,1,0.995,0.82803,0.54387,0.40338,0.86151,0.0004754,0.0004754,0.0004754
79,1113.12,0.63258,0.48639,0.89788,0.99465,1,0.995,0.82889,0.52847,0.37848,0.85818,0.0004556,0.0004556,0.0004556
80,1125.14,0.68884,0.52664,0.93993,0.99539,1,0.995,0.84412,0.56121,0.3648,0.86847,0.0004358,0.0004358,0.0004358
81,1138.79,0.68158,0.50051,0.93029,0.99546,1,0.995,0.84051,0.58735,0.35612,0.87443,0.000416,0.000416,0.000416
82,1150.86,0.68278,0.48864,0.99065,0.99407,1,0.995,0.84533,0.59077,0.35449,0.87504,0.0003962,0.0003962,0.0003962
83,1163.02,0.60937,0.49979,0.89607,0.99351,1,0.995,0.83387,0.58001,0.35864,0.87213,0.0003764,0.0003764,0.0003764
84,1177.4,0.60263,0.46301,0.9386,0.99502,1,0.995,0.84059,0.58627,0.36207,0.87319,0.0003566,0.0003566,0.0003566
85,1189.51,0.67022,0.51263,0.94138,0.99548,1,0.995,0.85203,0.59294,0.36186,0.87517,0.0003368,0.0003368,0.0003368
86,1203.22,0.62565,0.46349,0.94225,0.99653,1,0.995,0.83832,0.60726,0.35067,0.88246,0.000317,0.000317,0.000317
87,1215.18,0.6043,0.44954,0.89572,0.99692,1,0.995,0.83926,0.59627,0.33384,0.88064,0.0002972,0.0002972,0.0002972
88,1226.99,0.55932,0.44156,0.94193,0.99692,1,0.995,0.83548,0.5777,0.33873,0.87718,0.0002774,0.0002774,0.0002774
